R&I Department Lead,Local project reference,CSU Name 1 (Primary),Project site status,Project site date site invited,Project site date site selected,Project type,Project Short title,R&I Internal Update,Waiting (Add Comment),Project ID,IRAS Number
UNASSIGNED,NE20/137191,Centre for Neurosciences,Project site in setup,04/11/2020,,Non-commercial portfolio,A feasibility study of smartphone-based brainwave entrainment (BWE) technology as a novel treatment for chronic pain,"16th March 2021 - Fully Signed Contract received - Sent to Sarah H for review
17th March 2021 - CSU Approval Requested",,137191,271075
UNASSIGNED,NE20/137343,Centre for Neurosciences,Project site in setup,25/11/2020,25/11/2020,Non-commercial non-portfolio,Working with MS during COVID-19,"
",,137343,290145
UNASSIGNED,OR20/137608,Trauma & Related Services,Project site in setup,30/11/2020,,,LoBoDe Registry,,,137608,261955
UNASSIGNED,HP21/138068,Pathology,Project site in setup,22/12/2020,,Non-commercial non-portfolio,SuperResPath-Renal ,,,138068,270613
UNASSIGNED,NE20/125086,Centre for Neurosciences,Project site in setup,15/03/2021,15/03/2021,Non-commercial portfolio,Neurological Assessment Practices after Stroke,PhD project/ LIP complete/ PIC agreement provided,CSU Approval -> PIC Agreement Signing,125086,261850
UNASSIGNED,RR21/139465,Chapel Allerton Hospital,Project site in setup,16/03/2021,,,RESET Trial,,Requested LIP and additional information,139465,
UNASSIGNED,OR21/129638,Trauma & Related Services,Project site in setup,17/05/2021,17/05/2021,Non-commercial portfolio,HUSH - The Humeral Shaft Fracture Trial,,LIP Complete - awaiting approvals - agreement forwarded to MK for initial review,129638,277059
UNASSIGNED,CS21/136358,Adult Therapies,Project site in setup,27/05/2021,27/05/2021,Non-commercial portfolio,"Pastoral, spiritual and religious care of children facing end of life",,"SA registered, MK to conduct QC - no official CCC required for this study",136358,288298
UNASSIGNED,HP21/142118,Pathology,Project site in setup,10/06/2021,20/10/2021,Non-commercial non-portfolio,A pan cancer programme of tumour typing (version 1),,Acknowledgement of study sent,142118,294661
UNASSIGNED,ED21/133752,Emergency and Specialty Medicine,Project site in setup,10/08/2021,09/09/2021,Non-commercial portfolio,OCTOPuS RCT,,awaiting o/s study info and docs / awaiting KSS approvals / requested initial contract check from MK,133752,283351
UNASSIGNED,MB21/144666,Pathology,Project site in setup,14/09/2021,04/10/2021,Academic/student,IMPAART STUDY,,"SA registered, MK to send ACK email and conduct QC",144666,296638
UNASSIGNED,RD21/140423,Radiology,Project site in setup,14/09/2021,14/09/2021,Academic/student,Rib Unfolding CT ,,Ack email sent - awaiting key data and then approvals - study is likely to require DAC review,140423,294838
UNASSIGNED,NE21/139731,Centre for Neurosciences,Project site in setup,29/09/2021,29/09/2021,Academic/student,Clinician attitudes to common neurological conditions,,"SA registered, MK to send ACK email and conduct QC",139731,293676
UNASSIGNED,UR21/113820,Abdominal Medicine and Surgery,Project site in setup,30/09/2021,30/09/2021,Non-commercial portfolio,European Active Surveillance of Renal Cell Carcinoma study,,awaiting KSS,113820,219948
UNASSIGNED,ME21/130270,Emergency and Specialty Medicine,Project site in setup,04/10/2021,,Non-commercial portfolio,CONFORM-OH,,Forwarded Draft Ack email to MK to send.,130270,277408
UNASSIGNED,HP21/144955,Pathology,Project site in setup,07/10/2021,07/10/2021,Non-commercial non-portfolio,DERMATLAS,,DSS Complete as evidenced in Correspondence folder - awaiting OneForm Approvals.,144955,304621
UNASSIGNED,RR21/130282,Chapel Allerton Hospital,Project site in setup,18/10/2021,18/10/2021,Non-commercial portfolio,MINIMISE-Pilot,,Data Agreement in contracts folder,130282,275187
UNASSIGNED,RM21/140150,Cardio - Respiratory,Project site in setup,22/10/2021,,Non-commercial non-portfolio,Nintedanib for progressive fibrosing interstitial lung disease,,SA registered / MK to send ACK emails and conduct QC,140150,292810
UNASSIGNED,NE21/107855,Centre for Neurosciences,Project site in setup,28/10/2021,28/10/2021,Non-commercial portfolio,TEMPO-2,,awaiting LIP - SA requested on 16/09/2021,107855,209066
UNASSIGNED,ME21/126683,Emergency and Specialty Medicine,Project site in setup,29/10/2021,29/10/2021,Non-commercial portfolio,PACT: Cluster RCT of the  Your Care Needs You!  intervention  Work package 6,,"SA registered, MK to send out 2 ACK emails",126683,277060
